Timestamp start: 1715872402420
Timestamp end: 1715873202875

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      444.3  1041.8   148.8   211.9   231.1   359.9   413.8   446.4   466.8   492.0   524.1   582.0  1934.6 12773.8 36787.8   7356.3     7434
read      438.9   737.6   148.8   204.2   219.1   347.2   420.5   465.5   499.7   541.6   601.8   725.6  2006.8  9477.7 31331.5  67188.5    67201
read      371.0   198.5   148.8   202.3   216.5   336.6   403.5   445.2   476.0   513.2   562.2   638.0   833.1  1792.0  6332.8  85924.4    85927
read      415.6   380.9   148.8   207.4   223.2   363.6   445.7   494.8   531.2   576.3   638.2   746.0  1088.0  3773.4 14299.8  64086.0    63953
read      381.2   231.9   148.8   204.7   218.7   342.7   427.4   476.1   506.8   540.3   581.1   641.9   806.2  1572.7  8689.6  31701.6    31595
read      373.4   182.0   148.8   206.2   221.4   341.9   408.3   448.8   478.2   513.5   561.7   637.3   808.6  1674.5  5907.9  87874.2    87879
read      434.0   920.5   160.7   212.6   233.3   359.5   413.1   446.9   468.3   493.2   523.7   574.8  2051.8 13267.7 36934.4   7278.2     7287
read      421.9   352.5   148.8   207.6   223.5   355.4   434.1   485.4   522.9   569.6   635.5   776.2  1644.9  3964.6 10427.5  62170.4    62295
read      505.5  1335.7   160.7   212.9   235.2   356.3   409.4   443.9   466.5   494.2   531.2   631.7  4157.0 30278.4 36910.9   6567.8     6561
read      543.7   890.3   148.8   204.3   220.5   409.4   546.5   645.2   717.2   791.2   874.4  1003.7  2292.0 11204.3 32211.2  22508.4    22532
read      401.7   313.4   148.8   205.3   220.0   347.2   420.1   466.0   501.4   544.7   605.8   715.2  1456.1  2804.4  9138.6  60532.8    60653
read      386.9   237.1   148.8   205.7   220.4   346.7   420.3   465.0   498.5   538.8   591.9   676.8   932.4  2085.3  8548.4  59086.0    59076
read      386.6   275.2   148.8   206.7   221.5   347.1   419.5   463.1   495.9   535.8   588.5   671.0   894.7  2308.0  8010.1  60140.6    60154
read      375.0   302.1   148.8   202.9   215.7   339.6   426.9   471.3   497.9   526.8   560.3   610.5   736.0  2393.6 11666.6  22990.6    22964
read      438.3   775.8   148.8   208.3   228.1   367.5   435.9   471.5   495.2   521.6   553.3   615.3  2057.5  8744.7 33594.9   8177.0     8172
read      437.6   632.8   148.8   203.6   217.9   353.5   452.0   503.6   537.7   579.2   640.9   810.3  1358.1  7727.9 31290.7  27656.3    27652
read      384.6   215.6   148.8   205.4   220.0   345.5   427.7   478.0   511.1   548.1   592.9   664.1   839.1  1474.3  8641.8  37596.2    37594
read      375.2   250.8   148.8   203.8   217.5   343.5   430.9   473.8   500.1   528.2   560.8   612.3   736.5  1401.1 10970.2  24377.0    24367
read      382.5   216.3   148.8   204.2   218.3   345.1   428.6   477.9   509.6   544.2   587.2   654.4   819.0  1619.3  7090.8  33788.1    33771
read      374.6   214.2   148.8   204.8   219.7   340.6   408.8   449.9   479.9   516.2   565.3   641.3   830.8  1908.9  7583.3  84985.4    84944
read      364.8   180.9   148.8   200.9   215.0   333.6   401.2   442.1   471.6   507.1   552.6   626.8   787.7  1288.8  5530.8  85587.5    85666
read      381.7   808.6   148.8   203.6   218.1   343.6   415.4   459.2   492.0   529.5   576.1   646.0   834.3  1861.9 10483.4  51854.1    51918
read      370.7   414.7   148.8   202.7   216.2   334.2   415.2   463.0   494.3   526.2   561.8   615.3   746.8  1355.4  9726.8  34470.0    34406
read      367.1   198.7   148.8   203.0   216.5   333.7   418.1   462.5   490.3   518.5   548.8   594.2   720.4  1225.5  8104.3  28693.7    28664
read      370.7   211.5   148.8   202.8   216.6   337.9   412.9   459.5   491.8   525.5   563.5   619.3   748.4  1324.6  8200.9  38241.1    38289
read      489.8   691.2   148.8   203.7   219.9   405.7   514.9   586.3   644.3   711.0   787.7   900.7  1240.4 10150.7 30312.5  20754.1    20658
read      443.1   488.8   160.7   201.9   218.4   396.3   489.6   542.0   578.6   618.7   666.3   737.0   965.3  5462.5 29651.5  13831.1    13840
read      426.5   387.7   148.8   210.2   228.1   367.7   439.9   483.5   517.0   562.0   628.6   761.8  1678.5  4148.6 12670.7  93480.5    93419
read      389.6   216.7   148.8   211.5   229.1   357.0   423.4   463.3   493.5   530.5   580.1   659.0   850.2  2004.5  8072.6  98201.0    98284
read      378.2   210.3   148.8   203.5   217.3   340.6   414.7   459.0   491.2   529.6   580.7   662.1   857.7  1893.8  5802.8  71137.7    71313
read      388.4   266.1   148.8   205.3   219.6   347.5   423.7   472.2   507.7   548.4   601.6   677.5   859.2  2166.1  8953.5  42143.1    42089
read      390.4   348.3   148.8   205.8   220.4   349.5   423.5   470.1   504.8   546.0   600.0   678.9   854.8  1953.0 11761.4  46487.8    46458
read      379.3   220.4   148.8   202.1   215.1   339.7   423.3   473.3   505.7   542.5   587.1   649.5   812.5  1539.0  9195.1  30790.1    30755
read      388.6   247.9   148.8   204.6   218.9   347.5   424.9   473.1   508.4   550.1   603.7   679.0   867.2  1982.3  7953.9  42837.0    42889
read      384.7   209.0   148.8   210.0   226.4   350.5   416.8   457.3   487.6   524.3   573.6   651.3   859.5  1985.1  6678.6  93531.1    93552
read      382.6   222.7   160.7   205.2   219.5   344.8   418.8   462.9   495.7   535.1   586.9   667.9   862.3  2076.5  7334.3  65703.7    65694
read      383.9   374.6   148.8   203.5   217.0   337.1   425.0   476.0   508.1   543.3   584.8   641.6   803.9  3543.3 13508.4  29529.3    29574
read      385.6   487.5   148.8   205.4   219.9   347.0   419.0   464.0   498.7   539.8   591.9   670.9   843.8  2162.6  7795.8  51263.7    51355
read      387.6   236.5   148.8   204.1   218.5   346.5   423.4   468.7   501.6   541.6   594.7   680.2   910.3  2503.0  7468.4  67553.1    67361
read      428.1   356.3   148.8   206.8   223.3   389.4   476.3   525.0   559.7   599.3   647.8   725.5   950.9  3643.7 12558.6  16240.0    16287
read      418.4   309.2   160.7   210.1   226.3   360.5   434.5   478.4   511.1   552.7   614.7   734.9  1695.4  2809.4  7732.5  81418.6    81508
read      380.7   289.2   148.8   209.5   225.4   349.6   418.3   458.9   489.2   525.5   573.4   646.6   805.1  1478.2  7184.5  87520.8    87619
read      386.5   285.9   148.8   215.7   233.1   359.0   423.4   461.5   490.2   524.9   570.6   639.4   793.9  1309.5  6844.5  99033.2    99068
read      396.5   206.5   148.8   212.3   228.1   361.2   437.9   483.4   515.4   553.1   603.8   684.7   866.9  1826.0  7278.9  51304.8    51267
read      432.7   414.1   160.7   209.3   227.2   388.8   471.3   518.6   551.4   588.6   633.6   700.5   906.1  5677.2 16791.6  11798.3    11822
read      480.7   427.8   148.8   223.2   246.6   403.8   485.7   539.7   584.9   646.1   738.8   904.1  1854.5  2940.9 13758.9  97601.6    97494
read      382.1   204.6   148.8   211.5   228.2   352.8   416.6   455.1   483.6   518.7   565.7   637.5   802.7  1776.1  7373.4  97127.9    97350
read      387.0   202.2   148.8   207.2   221.9   352.7   427.3   471.1   504.4   543.9   594.9   675.0   846.9  1717.1  6722.9  55416.2    55460
read      385.9   222.6   148.8   208.8   224.6   350.5   421.0   463.3   495.1   533.5   584.1   663.4   839.6  2210.4  7989.2  85980.5    85984
read      384.5   235.4   148.8   207.5   223.1   347.8   418.7   461.6   493.7   532.3   583.6   664.1   846.8  2124.5  8139.5  81987.7    82043
read      391.5   207.9   148.8   206.1   220.8   356.2   432.9   478.2   511.2   551.0   604.9   687.1   868.7  1905.0  6093.7  52908.7    52873
read      455.2   544.0   160.7   208.3   224.8   397.2   486.8   543.5   587.0   635.2   691.0   773.3  1001.1  6408.1 26944.4  13910.1    13911
