Timestamp start: 1715875983585
Timestamp end: 1715876784020

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      428.6   873.5   160.7   212.0   230.9   350.8   409.3   440.3   463.5   488.9   518.7   571.7  1793.8 12411.9 31558.2   7410.7     7434
read      397.1   425.5   148.8   201.7   214.9   328.6   395.9   440.2   477.1   524.6   588.3   713.7  1608.1  4332.7 14262.0  66989.3    67201
read      357.1   228.7   148.8   199.7   212.8   323.1   385.2   422.4   451.4   487.4   535.7   612.5   788.3  1957.2  7328.9  85801.5    85927
read      398.2   279.7   148.8   205.3   219.9   346.0   424.5   473.6   511.1   555.6   616.8   725.4  1115.5  2666.8  9299.2  63869.4    63953
read      373.5   244.5   148.8   200.3   213.5   332.7   418.9   465.6   497.4   532.1   574.5   639.9   803.7  1629.1  8988.9  31610.6    31595
read      359.0   172.1   148.8   202.0   215.9   326.6   389.8   428.1   457.9   495.0   543.2   620.9   797.1  1327.2  5210.0  87830.2    87879
read      420.9   961.0   160.7   211.2   230.3   346.0   398.5   428.2   450.2   475.4   505.7   552.4  1409.7 16748.2 37002.6   7322.6     7287
read      401.2   354.8   148.8   204.1   218.5   340.4   416.4   464.2   501.4   545.8   609.2   726.4  1414.4  3560.2 13065.1  62232.1    62295
read      506.3  1484.1   160.7   214.8   234.2   343.6   392.2   421.9   443.9   472.7   509.9   631.5  4690.7 30901.6 44622.4   6577.9     6561
read      534.2   952.2   148.8   203.6   218.3   387.2   520.9   616.3   686.3   755.6   835.5   961.2  2972.8 10489.2 32289.6  22524.1    22532
read      388.8   280.2   148.8   201.1   214.6   334.3   407.8   457.1   495.2   541.3   603.2   708.3  1255.0  2500.9  9307.0  60713.5    60653
read      387.1   298.7   148.8   203.0   216.4   338.3   413.2   460.2   496.6   539.9   596.7   687.0  1014.6  2753.4 11018.4  59004.1    59076
read      381.4   384.3   148.8   202.9   216.2   335.9   406.6   451.4   486.2   528.6   582.5   665.2   896.3  2463.1 24434.7  60158.7    60154
read      440.3   321.3   160.7   203.2   216.9   364.7   476.9   541.6   595.4   677.0   770.4   886.3  1123.6  3488.7 10260.6  22944.3    22964
read      455.4  1078.1   148.8   210.2   228.6   353.8   419.3   456.3   481.4   507.0   541.5   598.2  2441.1 14106.9 38490.5   8173.7     8172
read      395.6   374.4   148.8   200.7   213.6   333.7   425.6   476.5   510.4   547.0   594.8   694.7  1076.2  5659.4 10947.2  27614.7    27652
read      373.9   257.3   148.8   199.2   212.4   326.6   409.3   458.6   493.2   531.2   576.6   649.2   913.8  2181.2  9649.2  37565.3    37594
read      375.5   361.7   148.8   201.3   214.1   335.9   427.2   469.1   496.4   525.5   558.8   610.9   744.2  2802.8 13042.8  24385.7    24367
read      371.3   307.6   148.8   201.8   214.6   326.6   412.0   460.8   494.3   529.6   570.7   632.6   786.6  1574.3 14332.5  33625.5    33771
read      360.4   185.5   148.8   202.3   215.8   326.8   391.1   429.8   460.1   497.8   546.9   627.4   806.4  1229.9  5857.4  85083.0    84944
read      360.4   199.0   148.8   202.7   216.2   327.2   391.3   429.6   459.4   496.2   544.1   622.9   805.0  1350.7  6404.5  85656.0    85666
read      379.5   270.1   148.8   204.3   218.7   336.7   411.3   457.9   492.2   531.4   579.9   656.5   875.0  2129.2  9918.9  51956.6    51918
read      366.6   536.9   148.8   200.8   214.0   326.9   411.2   458.6   490.1   523.4   560.4   614.9   746.6  1318.7  7593.8  34332.0    34406
read      367.1   216.9   148.8   201.6   214.8   329.4   420.3   465.0   493.3   522.6   554.3   601.7   729.7  1185.5  8120.7  28674.5    28664
read      366.1   201.0   148.8   202.8   216.1   326.9   408.2   456.2   488.9   523.8   562.6   618.9   756.1  1164.8  7393.5  38278.7    38289
read      462.8   696.0   160.7   203.4   218.0   381.7   488.2   556.5   615.0   678.3   746.4   845.7  1092.8  9742.8 31135.2  20684.0    20658
read      428.9   395.3   148.8   206.7   224.3   384.5   476.6   530.0   564.8   601.9   644.8   712.0   895.4  4023.4 15691.8  13839.6    13840
read      415.1   521.9   148.8   207.4   223.8   352.4   421.4   463.3   496.7   538.7   598.0   714.3  1574.9  7788.3 20246.1  93427.5    93419
read      374.1   229.9   148.8   205.3   220.9   338.8   401.4   440.6   471.1   509.7   562.2   642.8   844.1  2070.6  8307.7  98375.6    98284
read      375.4   225.8   148.8   201.9   215.4   332.9   402.4   446.3   480.6   523.6   578.6   665.5   932.0  2002.1  7964.7  71314.8    71313
read      375.8   245.6   148.8   202.4   215.3   333.1   410.1   457.6   493.4   534.1   583.1   653.4   841.7  2062.4  9580.8  42080.9    42089
read      376.2   224.4   148.8   202.9   216.1   335.9   410.2   456.6   492.6   534.9   587.0   664.7   843.9  1775.2  7874.4  46391.9    46458
read      367.0   213.7   148.8   200.8   213.2   324.8   409.1   457.5   491.1   527.0   567.6   625.7   770.2  1507.5  8100.4  30771.9    30755
read      378.5   281.9   148.8   203.0   216.1   335.1   411.8   459.3   495.2   536.2   585.9   660.1   856.1  1871.7 10208.6  42810.2    42889
read      370.9   224.4   148.8   203.9   219.0   335.2   399.9   439.2   469.5   507.2   558.7   639.3   840.7  2122.7  8198.7  93530.6    93552
read      376.0   257.2   148.8   202.4   215.6   334.1   404.0   448.7   483.2   525.5   579.2   661.8   881.3  2272.5  9308.7  65729.3    65694
read      374.7   299.8   148.8   201.9   214.4   330.5   416.0   464.4   497.4   532.4   573.1   631.7   799.8  1844.6 12189.0  29558.1    29574
read      378.9   329.7   148.8   203.3   216.5   336.5   408.9   454.7   489.8   531.3   583.5   662.0   857.5  1830.2 15983.3  51332.1    51355
