Timestamp start: 1715874965045
Timestamp end: 1715875765477

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      435.2   850.2   160.7   216.3   235.8   364.3   422.1   454.9   476.5   501.6   534.6   590.4  1685.7 10217.4 36200.9   7410.6     7434
read      420.4   538.5   148.8   204.6   219.7   341.4   412.1   458.5   494.6   539.5   602.2   736.4  1813.1  6539.9 23167.3  67251.9    67201
read      370.1   239.0   148.8   204.0   218.6   333.9   399.3   439.0   469.2   505.7   552.9   629.4   824.1  1985.4  8483.1  85717.8    85927
read      410.6   368.7   148.8   208.7   224.5   358.6   439.4   489.4   526.1   570.5   629.4   730.0  1082.8  3291.9 19010.9  63890.3    63953
read      383.3   220.7   148.8   206.8   222.1   341.9   430.0   481.4   514.2   548.6   589.5   647.8   792.9  1483.6  8117.3  31578.8    31595
read      368.3   193.7   148.8   205.4   220.6   336.2   401.3   440.5   469.1   504.4   549.6   623.5   793.9  1717.7  7280.5  87951.8    87879
read      416.7   777.2   160.7   216.4   236.0   357.6   411.7   444.6   466.9   493.1   525.2   576.8  1359.2 11531.8 36579.0   7312.9     7287
read      399.7   325.9   148.8   206.0   220.9   344.7   418.8   465.4   501.5   544.6   602.3   700.4  1400.4  3341.6 11513.6  62133.8    62295
read      520.7  1464.0   160.7   219.1   239.8   356.3   408.7   442.7   465.6   493.3   531.3   646.4  4750.4 30695.7 39313.0   6556.4     6561
read      542.4   842.1   160.7   210.6   227.3   414.7   550.8   648.6   721.3   794.7   879.1  1009.9  2284.8 10354.5 32122.2  22503.9    22532
read      391.8   250.6   148.8   204.8   219.5   346.2   420.9   466.0   500.8   542.9   599.2   688.4  1125.1  2412.0  7737.2  60666.3    60653
read      386.8   248.0   148.8   205.5   220.2   344.3   418.2   463.2   498.4   540.1   593.8   677.2   947.1  2066.2  8102.4  58976.5    59076
read      381.4   270.2   148.8   205.4   219.7   341.2   412.8   456.7   490.6   531.5   583.9   662.9   868.2  2183.9  9213.9  60192.7    60154
read      451.7   500.2   148.8   206.2   220.8   374.0   485.8   543.9   593.0   673.4   776.0   899.8  1143.2  5344.4 27842.5  23040.5    22964
read      476.0  1155.3   160.7   215.7   234.9   374.3   445.4   481.6   505.0   532.3   566.3   626.2  2254.9 17252.9 37319.0   8173.5     8172
read      409.6   376.2   160.7   205.6   219.6   342.6   441.8   495.6   530.2   568.9   620.4   742.2  1170.7  4650.8 11466.9  27666.8    27652
read      382.0   234.2   148.8   204.2   218.6   337.7   418.7   470.1   506.3   544.6   590.0   658.8   867.9  2087.3  8319.6  37614.1    37594
read      373.3   230.0   148.8   203.7   217.3   338.2   428.8   472.9   499.2   527.5   559.9   607.2   727.9  1458.0  9312.2  24320.8    24367
read      372.7   233.5   148.8   204.6   218.7   330.9   413.8   465.5   499.4   534.6   574.6   629.3   750.6  1358.2  9177.6  33883.5    33771
read      360.9   168.6   148.8   204.5   218.9   330.4   396.4   434.9   464.3   499.2   543.2   611.8   745.9  1248.6  5481.6  84985.4    84944
