#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      426.6   424.5   173.5   264.4   292.9   403.1   442.1   462.3   476.3   495.0   517.1   554.1   724.1  7541.9 12678.9   4990.6     5000  1715182115289  1715182120737
read      452.4   344.8   160.7   241.1   261.9   443.1   507.4   539.8   561.8   585.7   616.7   662.0   782.0  4319.5 12908.6  10030.2    10000  1715182122244  1715182127634
read      455.4   294.8   160.7   229.2   249.0   437.3   530.2   574.0   602.2   632.1   669.1   723.0   844.4  3514.2 12625.7  15032.2    15000  1715182129139  1715182134471
read      464.1   270.5   160.7   226.3   246.0   431.0   538.9   595.5   633.1   673.1   719.6   783.4   922.9  1785.7 10235.6  20045.8    20000  1715182135976  1715182141314
read      467.5   305.0   160.7   220.3   238.9   430.8   534.8   594.8   639.0   687.2   739.6   803.2   945.8  1865.4 13045.6  24995.2    25000  1715182142819  1715182148159
read      462.1   280.2   148.8   220.1   237.2   420.9   524.1   588.3   637.1   690.4   747.3   817.1   970.8  1361.2 12246.3  29995.6    30000  1715182149663  1715182155002
read      474.4   276.2   160.7   219.3   236.7   426.1   540.7   609.6   662.0   721.1   785.6   870.4  1095.2  1613.2  8587.0  35122.2    35000  1715182156507  1715182161829
read      481.5   289.6   160.7   221.0   237.9   421.9   549.8   623.3   677.4   739.1   808.5   910.6  1148.4  1831.3 10750.9  39930.0    40000  1715182163334  1715182168695
read      471.4   294.9   160.7   219.5   235.2   387.5   509.7   590.9   656.7   735.3   826.1   959.1  1317.2  1886.5  8014.1  44980.0    45000  1715182170199  1715182175515
read      465.8   274.9   160.7   219.7   235.9   382.3   507.7   587.2   648.5   723.0   807.9   938.9  1311.8  1865.4  6223.1  49989.6    50000  1715182177019  1715182182344
read      470.6   330.8   160.7   217.9   232.9   358.9   474.4   563.6   638.0   733.5   855.9  1071.4  1592.3  2320.0  9710.8  55138.6    55000  1715182183849  1715182189174
read      467.3   325.9   160.7   220.8   237.0   363.8   467.2   546.0   615.4   709.1   841.2  1071.0  1547.8  2180.0  8967.1  59989.0    60000  1715182190678  1715182196028
read      506.8  1036.0   160.7   224.0   242.1   380.0   490.5   574.8   652.1   756.8   889.3  1108.6  1566.6  2973.8 48481.8  64736.2    65000  1715182197533  1715182202858
read      506.2   381.2   160.7   227.7   247.8   378.6   480.1   565.9   655.3   784.2   972.8  1241.1  1828.6  2521.5 11203.3  69943.8    70000  1715182204364  1715182209698
read      518.2   434.9   160.7   228.6   248.0   368.8   464.1   552.2   646.6   801.4  1040.5  1366.6  2047.0  3094.3 10763.9  75017.2    75000  1715182211204  1715182216524
read      842.7   977.5   160.7   297.3   330.8   443.0   658.3  1426.2  1547.1  1640.7  1737.5  1892.8  2887.9 11152.2 31587.1  77563.0    80000  1715182218029  1715182223343
read      857.8  1163.4   160.7   292.4   328.2   444.8   608.9  1409.9  1542.4  1642.2  1745.7  1920.8  3099.2 13325.8 35898.9  77101.8    85000  1715182224847  1715182230166
