Timestamp start: 1715691894231
Timestamp end: 1715692694752

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      388.6   205.1   160.7   208.1   223.2   356.7   436.0   481.9   516.4   555.7   601.8   663.2   783.8  1427.0  5077.2  51363.8    51267
read      433.8   443.1   160.7   224.1   242.8   399.3   471.4   512.0   540.5   574.1   616.4   682.6   923.4  3978.6 29062.5  11774.6    11822
read      521.8   386.7   148.8   229.4   254.9   423.0   504.5   566.0   622.7   705.6   820.8  1438.9  1886.1  2971.3  9056.5  97400.4    97494
read      367.5   194.1   148.8   209.1   224.5   337.3   400.9   438.5   466.4   500.2   543.5   611.6   765.5  1671.0  7044.9  97520.8    97350
read      386.4   212.6   148.8   208.4   223.5   351.9   429.9   473.5   507.7   547.8   595.4   659.8   791.6  1704.0  9090.7  55436.6    55460
read      368.6   176.2   160.7   207.0   221.9   335.0   403.7   444.9   474.5   510.1   557.0   626.5   783.3  1666.4  5989.2  85861.0    85984
read      396.5   323.9   148.8   208.7   224.0   346.8   420.5   463.9   497.1   536.9   588.7   675.7  1297.2  3590.3 10156.1  82041.2    82043
read      431.0   473.6   160.7   210.2   225.9   358.2   441.8   495.6   536.1   585.3   648.9   795.4  1561.7  4745.9 29070.0  52684.6    52873
read      698.8  1958.2   160.7   223.5   242.8   414.2   499.9   551.5   593.7   647.0   735.0  1270.4  7542.6 31560.0 38723.6  13924.6    13911
read      551.0  1019.1   160.7   215.4   232.3   375.1   468.6   534.3   587.9   665.1   865.2  1407.4  3042.8 12066.9 35428.1  50132.0    49984
read      416.8   468.7   160.7   231.1   249.7   383.6   440.0   470.7   493.8   519.7   551.1   604.7   789.9  6296.2 26539.0   9302.6     9274
read      432.7   361.3   160.7   210.7   226.3   367.5   473.5   530.0   567.5   612.7   684.2   857.5  1196.2  2897.5  8196.8  27291.4    27187
read      476.4   383.3   160.7   218.8   235.6   426.2   524.1   583.0   630.2   685.8   754.3   855.3  1150.6  4253.1 12884.2  18660.0    18735
read      469.9   411.5   160.7   213.9   230.8   374.1   453.0   502.6   542.1   593.5   680.0  1418.3  1928.7  2971.1 10196.5  86297.4    86505
read      370.4   237.0   148.8   207.9   222.7   336.8   402.5   442.0   470.9   506.8   551.8   623.0   781.4  1866.5  7638.6  93169.6    93039
read      380.7   266.4   148.8   207.8   222.3   339.9   415.9   460.0   492.6   531.3   580.4   651.6   841.0  2130.4  8106.9  75749.8    75999
read      394.5   293.5   148.8   206.2   221.0   350.8   439.3   492.6   528.7   567.0   608.9   663.9   831.4  2641.7 12419.4  32452.0    32324
read      379.9   298.4   148.8   207.8   222.6   338.8   408.8   451.0   481.9   519.4   568.2   639.6   851.1  3008.2  9799.5  83942.8    84255
read      375.0   245.1   160.7   207.0   221.5   337.5   409.3   451.9   482.5   519.7   567.0   637.6   821.7  1874.2  7548.3  81760.4    81759
read      392.2   282.3   160.7   205.1   219.5   350.9   433.1   484.5   522.1   562.7   607.1   665.0   836.6  2496.8  8918.5  37270.8    37291
read      386.5   245.6   148.8   206.4   221.0   351.3   427.5   471.7   506.8   547.9   597.3   663.5   806.4  1705.7 11201.7  53679.6    53818
read      395.6   426.1   160.7   205.4   220.1   346.6   437.6   489.4   523.7   559.0   596.5   646.8   831.3  4513.8 23711.7  30219.8    30297
read      393.2   391.0   148.8   205.1   219.9   346.1   435.8   489.6   524.9   561.6   601.0   651.6   784.8  3287.2 21449.9  31672.4    31569
