Timestamp start: 1715957545598
Timestamp end: 1715958346217
#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      440.9   956.0   160.7   202.9   220.9   364.2   420.6   450.3   470.2   496.2   529.5   590.1  2326.8 11396.3 36745.3   7388.0     7434
read      454.4   478.2   148.8   205.3   221.0   362.0   444.7   494.4   532.5   580.4   653.6   940.0  2000.9  4928.7 12825.1  67249.8    67201
read      377.6   237.8   148.8   206.5   222.0   340.7   408.0   449.2   479.4   516.5   565.0   638.9   847.9  2118.5  9164.6  85641.7    85927
read      392.1   259.4   148.8   204.8   219.5   351.5   428.5   473.4   507.7   547.6   601.7   685.1   924.6  2351.1  9844.3  64024.7    63953
read      404.4   318.7   148.8   205.1   219.7   358.3   447.5   495.8   528.4   564.4   609.4   687.8  1012.7  3962.7  9954.6  31627.2    31595
read      377.0   197.4   148.8   207.6   223.6   344.7   413.4   454.9   484.8   520.0   565.7   636.0   803.5  1657.0  6456.9  88084.2    87879
read      397.1   613.4   160.7   205.8   224.3   349.3   398.5   425.6   444.9   467.2   498.0   547.6  1287.7  7622.5 31182.1   7332.3     7287
read      436.2   423.7   148.8   206.3   221.9   358.8   439.6   489.9   528.1   575.6   643.2   834.4  1778.3  4334.8 10784.5  62214.6    62295
read      484.7  1308.7   160.7   206.8   226.0   344.7   393.6   422.3   443.5   469.7   507.2   618.9  3854.3 27549.7 38580.3   6620.6     6561
read      573.2  1120.5   148.8   198.9   213.5   405.3   539.8   643.3   720.3   795.3   888.0  1043.9  3870.3 12210.7 35966.6  22440.6    22532
read      392.0   274.5   148.8   203.6   217.6   344.8   421.3   466.2   500.6   541.2   596.2   684.3  1204.7  2473.7  8419.9  60752.9    60653
read      385.1   248.1   148.8   203.7   217.4   345.2   421.4   465.5   499.7   540.9   593.1   670.9   884.3  2092.2  8502.4  59178.8    59076
read      390.7   255.6   148.8   203.1   217.0   347.3   425.5   471.0   506.0   546.6   599.2   683.1  1065.6  2018.3  9140.7  60119.4    60154
read      379.3   341.6   160.7   200.4   213.2   339.9   431.6   477.8   505.7   533.4   565.6   613.3   750.4  4094.0 13684.3  22883.4    22964
read      448.9   920.4   160.7   203.5   220.7   364.5   427.1   460.7   484.1   509.2   542.5   594.8  2633.8 11603.1 33741.3   8167.1     8172
read      404.4   305.2   148.8   199.3   212.6   342.8   439.0   493.9   529.6   568.4   620.7   761.4  1183.5  3621.3  8585.8  27544.5    27652
read      380.0   226.6   148.8   200.1   214.1   341.7   421.8   471.5   508.9   547.0   588.5   647.6   852.1  1474.8  8592.5  37636.3    37594
read      377.4   240.2   148.8   201.6   215.0   344.1   433.1   476.4   505.1   535.4   569.3   615.9   729.9  2228.9  9820.2  24413.9    24367
read      384.3   227.7   148.8   200.4   214.1   346.4   432.1   482.8   518.1   555.8   596.5   654.2   799.0  1532.1  9309.1  33885.8    33771
read      378.4   189.6   148.8   208.2   224.3   345.5   415.8   457.2   488.1   525.5   573.2   641.5   800.2  1291.1  7073.7  85052.5    84944
read      374.9   205.1   148.8   205.9   221.5   341.6   411.2   453.1   483.4   519.7   566.3   635.0   794.0  1659.8  8067.0  85638.8    85666
read      388.5   207.2   148.8   203.8   218.5   353.9   432.0   477.5   511.1   551.8   600.8   672.7   854.3  1728.4  7485.3  51816.3    51918
read      388.2   282.2   148.8   201.6   215.4   346.5   431.4   481.9   518.3   557.8   599.8   660.7   841.9  2728.3  9103.4  34547.1    34406
read      378.4   228.7   148.8   200.5   214.4   340.4   428.2   476.1   509.0   543.0   579.8   629.9   761.3  2021.0  8812.1  28686.2    28664
read      372.2   224.3   148.8   198.6   212.8   334.2   413.6   462.7   498.8   537.8   577.9   629.1   748.8  1651.1  8133.7  38318.3    38289
read      482.2   698.2   148.8   199.4   214.2   399.3   509.3   580.2   639.7   708.4   786.1   899.2  1232.4  9818.2 31866.0  20714.0    20658
read      445.8   493.8   148.8   200.2   216.0   401.5   492.1   544.6   580.1   619.5   667.7   740.2   983.7  5925.8 25799.2  13920.1    13840
read      429.8   275.1   148.8   215.5   234.2   374.2   449.7   497.0   534.0   580.5   646.5   772.0  1679.0  2753.0  7786.2  93387.7    93419
read      399.6   379.4   148.8   216.0   234.1   360.5   426.8   466.9   498.4   535.8   584.1   662.2   856.7  3092.7 12846.4  98386.7    98284
read      383.6   286.1   148.8   204.6   219.1   343.5   419.6   464.6   497.6   535.7   584.3   660.2   852.0  2274.1  9451.9  71483.6    71313
read      384.9   284.3   148.8   202.1   215.2   345.3   421.6   470.9   507.4   547.3   597.0   664.7   826.7  1851.3 11876.1  42268.3    42089
read      395.8   280.3   148.8   202.9   216.6   356.7   436.7   484.4   518.6   558.8   610.5   684.6   909.8  2642.7  9284.4  46461.6    46458
read      386.3   322.3   148.8   198.7   212.1   341.2   432.1   483.0   515.7   550.3   590.7   648.2   835.7  4199.5 12358.3  30731.4    30755
read      386.7   226.9   148.8   200.7   214.2   349.3   429.9   476.9   512.9   555.0   603.9   672.2   855.9  1820.8  8085.6  42748.1    42889
read      396.5   288.0   148.8   214.1   231.5   359.6   427.9   469.1   500.9   538.9   588.7   669.9   873.0  2171.1 11336.4  93616.8    93552
read      390.4   350.0   148.8   203.5   217.4   345.8   423.8   467.9   501.1   540.4   590.3   669.2   907.3  3766.0 12127.1  65587.6    65694
read      377.8   229.6   148.8   200.5   213.8   340.1   424.2   472.9   506.2   540.7   580.4   635.7   796.9  1804.7  8725.6  29582.1    29574
read      388.7   246.4   148.8   204.0   218.4   351.5   428.7   473.3   506.8   546.2   596.1   670.9   865.5  2184.5  8411.2  51334.3    51355
read      385.7   306.1   148.8   205.3   220.0   341.7   418.5   463.5   496.6   535.7   585.3   662.3   905.5  2932.7 10742.1  67317.3    67361
read      451.6   570.7   160.7   199.0   213.7   396.7   483.2   537.3   580.3   629.8   690.1   783.3  1085.9  7944.4 28313.7  16271.8    16287
read      421.1   360.5   148.8   207.9   224.1   356.4   433.7   480.5   515.5   558.5   618.5   733.5  1757.3  2965.4 11514.8  81525.9    81508
read      385.5   293.9   148.8   207.2   223.3   346.4   416.1   457.6   488.4   525.4   573.5   648.6   870.4  2604.9 11967.8  87651.4    87619
read      404.0   252.7   148.8   218.8   237.6   370.0   437.3   478.2   508.4   546.0   596.3   681.4   870.5  2140.0  9949.4  98942.9    99068
read      391.3   219.8   148.8   205.5   220.0   358.4   436.4   481.5   514.5   553.0   602.1   676.8   840.4  1623.5  7848.1  51265.9    51267
read      425.3   333.1   148.8   207.8   224.3   391.3   469.9   520.6   555.8   594.3   638.2   700.1   831.0  4310.7 13369.2  11843.7    11822
read      427.5   266.1   148.8   219.1   239.0   381.0   452.8   497.5   533.4   579.8   643.2   756.9  1340.7  2599.5  8326.7  97581.8    97494
read      392.4   197.0   148.8   214.5   232.8   363.2   430.3   469.5   499.8   536.1   583.3   658.7   826.1  1411.8  7100.3  97285.0    97350
read      389.0   219.2   148.8   204.1   218.4   354.0   432.8   477.5   509.8   548.6   599.6   678.3   862.6  1861.2  8423.9  55420.3    55460
read      384.3   194.9   148.8   208.6   224.8   350.7   421.0   462.8   494.0   531.2   579.5   654.7   834.0  1890.7  6191.4  85925.4    85984
read      384.0   250.2   148.8   207.0   222.5   346.7   419.3   462.6   494.6   532.7   581.9   659.3   845.3  2189.7  8319.9  82146.7    82043
read      393.3   238.7   148.8   204.9   219.2   356.6   436.0   482.6   516.7   557.0   609.2   687.0   868.3  1933.0  8147.5  53016.2    52873
read      439.8   433.3   160.7   203.2   218.0   394.9   476.1   527.1   568.0   616.3   672.4   749.7  1006.9  4993.7 15956.1  13971.1    13911
read      414.7   353.1   148.8   204.7   219.2   356.4   436.7   486.7   524.4   570.6   631.8   743.7  1437.3  3907.3 11562.4  50021.5    49984
read      414.4   486.3   160.7   207.0   223.9   373.8   435.8   471.5   498.0   528.0   565.5   625.5   891.0  7624.8 22077.1   9289.7     9274
read      399.7   268.4   148.8   205.5   219.6   348.3   440.4   490.5   523.8   560.9   608.7   699.4  1106.0  2761.8  9397.8  27219.2    27187
read      471.7   452.1   160.7   205.1   220.0   404.0   507.8   576.4   635.9   709.5   789.0   897.1  1146.2  6790.7 15256.8  18733.4    18735
read      478.3   793.3   148.8   219.2   238.6   391.6   475.3   527.1   569.2   625.9   718.5   946.3  1928.9  3111.8 11844.5  86677.1    86505
read      388.0   207.5   148.8   213.3   230.6   356.2   423.6   463.6   493.9   530.2   577.7   650.1   828.3  1878.2  7942.6  93162.4    93039
read      389.9   213.7   148.8   207.4   223.1   352.9   428.4   472.5   505.5   544.3   593.7   674.8   865.2  2218.4  7208.6  75999.9    75999
read      389.7   338.1   148.8   202.4   216.2   347.2   431.9   480.1   512.3   546.2   586.2   646.9   866.0  3475.2 12145.6  32428.4    32324
read      381.7   262.1   148.8   205.3   220.6   342.1   411.5   453.5   484.6   522.5   572.1   649.6   876.0  2747.6  8850.5  84064.3    84255
read      377.7   256.0   148.8   205.3   220.4   339.4   408.3   450.2   480.5   517.6   566.8   641.2   850.2  2459.1  9111.0  81903.0    81759
read      376.5   262.4   148.8   197.3   210.8   333.2   411.8   463.4   500.5   540.5   585.3   643.5   814.0  2777.6  9468.9  37398.6    37291
read      379.3   321.0   148.8   201.1   214.5   338.0   408.0   452.5   487.2   529.6   581.6   652.2   812.8  3486.3 10956.6  53817.1    53818
read      370.6   282.0   148.8   198.9   212.3   326.6   413.8   466.1   499.6   534.0   572.1   622.5   740.5  1878.5  9233.7  30308.0    30297
read      372.4   281.4   148.8   199.3   212.8   327.9   411.4   463.7   498.0   533.3   572.7   625.3   755.7  2608.6 12318.9  31628.1    31569
read      378.3   297.7   148.8   199.8   213.3   334.9   410.9   462.4   500.0   540.5   586.7   648.2   802.1  2452.1 10762.6  39025.8    38927
read      441.6   837.8   160.7   207.4   223.9   371.9   444.5   485.4   512.9   544.6   583.3   640.9  1259.0 11183.4 35988.6  10679.5    10652
read      485.6   414.6   148.8   222.8   245.4   402.2   484.7   542.9   593.9   665.9   762.7   928.2  1837.9  3045.5 15596.2  98069.1    98119
read      374.0   238.2   148.8   200.4   213.7   337.5   407.6   453.7   489.3   531.6   581.5   647.2   786.2  1773.7  8857.6  48162.9    48176
read      376.0   316.9   148.8   199.3   212.6   330.0   409.7   462.2   498.9   537.8   580.7   635.8   787.8  3149.0 10209.1  34844.3    34929
read      369.3   235.2   148.8   203.0   216.1   332.7   401.7   443.1   473.3   511.1   561.2   633.5   794.3  2267.6  7263.5  69769.9    69735
read      451.8   447.3   148.8   202.9   217.4   387.6   488.6   548.3   602.2   670.0   745.3   851.8  1144.2  5002.3 15546.8  20810.8    20753
read      463.6   455.7   148.8   211.3   229.0   371.7   450.5   498.9   538.6   593.1   690.0   999.5  1878.5  3458.3 14399.3  84718.6    84642
