#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      396.4   826.9   160.7   233.0   258.6   359.3   392.7   410.2   423.9   437.8   460.1   494.7   636.6  9558.6 41545.5   4948.6     5000  1714577589161  1714577594703
read      416.0   663.9   160.7   216.3   233.3   398.2   454.7   482.6   500.1   520.9   545.6   588.1   691.6  5186.3 30916.2  10004.6    10000  1714577596207  1714577601576
read      433.3   706.3   148.8   210.1   227.5   408.8   489.2   525.6   549.4   577.7   610.8   658.6   793.4  2427.0 31203.0  14968.4    15000  1714577603079  1714577608440
read      419.9   322.0   148.8   205.4   222.8   391.8   488.8   535.7   567.3   601.4   639.8   692.8   807.4  1484.7 15673.5  19960.6    20000  1714577609944  1714577615288
read      447.6   291.6   148.8   207.9   227.8   419.0   510.7   563.9   602.8   645.1   693.8   766.3   922.0  1532.0 12339.6  24818.0    25000  1714577616793  1714577622135
read      445.8   301.6   148.8   206.0   225.4   414.8   502.7   553.8   593.0   638.6   695.3   783.9   976.3  1573.8 10312.6  29854.6    30000  1714577623640  1714577628952
read      452.0   443.7   148.8   207.4   227.3   412.8   500.0   550.0   591.8   641.5   707.2   806.2  1029.1  2732.1 27994.9  35007.9    35000  1714577630456  1714577635765
read      461.3   405.0   148.8   208.0   228.1   425.5   519.3   573.6   615.4   665.2   730.3   826.3  1040.6  1487.9 25877.4  39943.2    40000  1714577637268  1714577642561
read      446.3   311.5   148.8   206.9   225.7   407.2   503.9   559.9   601.9   651.4   716.6   809.0  1000.1  1365.2 10903.6  44827.0    45000  1714577644065  1714577649374
read      458.9   321.2   148.8   210.2   231.0   421.5   518.9   572.8   613.1   662.3   728.3   828.4  1051.5  1391.4 12213.5  49872.3    50000  1714577650878  1714577656182
read      477.9   301.4   148.8   218.3   240.7   441.9   541.3   597.4   638.2   688.7   755.5   858.2  1059.1  1482.5 10353.3  55065.6    55000  1714577657686  1714577662985
read      466.2   294.3   148.8   217.7   239.9   419.9   517.7   579.0   624.7   678.4   745.8   852.4  1072.1  1607.9 12284.5  59878.2    60000  1714577664490  1714577669787
read      465.6   363.9   148.8   213.3   237.0   421.4   516.1   573.7   616.5   668.8   737.1   845.0  1084.1  1493.6 13519.9  64984.2    65000  1714577671290  1714577676587
read      456.8   268.3   148.8   212.7   236.8   412.3   500.7   558.6   603.9   659.6   731.7   843.1  1073.7  1383.9  8787.2  70094.4    70000  1714577678091  1714577683393
read      533.0   319.7   148.8   244.1   283.7   488.9   584.0   643.3   693.2   756.0   838.1   958.5  1164.2  1523.1 12622.0  75056.2    75000  1714577684896  1714577690197
read      862.6   538.5   160.7   549.8   587.2   723.5   803.1  1087.5  1210.0  1287.7  1354.0  1439.9  1583.9  5781.5 23247.9  75666.2    80000  1714577691701  1714577697005
read      891.6   501.9   160.7   574.5   613.8   747.8   825.8  1098.1  1259.1  1341.3  1414.4  1487.7  1615.5  5346.2 20130.3  73776.2    85000  1714577698510  1714577703808
read      927.7   490.6   160.7   605.0   645.3   782.2   859.9  1104.5  1301.1  1392.1  1466.6  1561.5  1728.8  5124.0 18072.3  71015.8    90000  1714577705312  1714577710608
read      882.4   489.9   137.8   570.1   608.0   739.4   810.7  1118.2  1253.9  1329.4  1396.3  1474.4  1606.3  4290.7 19536.0  74644.2    95000  1714577712111  1714577717414
read      856.4   539.0   137.8   551.8   584.6   715.5   796.6  1107.2  1213.0  1281.8  1345.1  1424.9  1564.4  4861.4 23631.9  77127.2   100000  1714577718917  1714577724217
read      845.2   430.2   160.7   554.1   584.2   704.5   784.1  1105.0  1207.9  1274.8  1336.7  1409.5  1544.9  2637.1 16308.5  77705.6   105000  1714577725721  1714577731015
read      863.4   494.6   148.8   560.6   598.0   721.8   795.0  1113.6  1230.4  1303.3  1363.8  1444.0  1577.5  4147.3 20923.9  76256.0   110000  1714577732519  1714577737822
read      820.0   451.8   173.5   515.1   548.1   675.5   798.5  1099.1  1160.3  1217.4  1271.4  1347.4  1474.6  4505.6 17729.6  80184.0   115000  1714577739326  1714577744632
read      892.0   463.4   160.7   575.5   613.8   752.6   835.2  1094.6  1253.2  1336.9  1412.2  1490.9  1635.9  4347.9 17709.7  73843.0   120000  1714577746136  1714577751434
read      891.3   502.6   160.7   582.6   616.0   744.8   816.4  1107.9  1262.3  1339.2  1409.6  1483.6  1611.2  6087.1 19401.4  74183.0   125000  1714577752939  1714577758256

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      399.6   862.2   160.7   232.2   255.9   354.6   388.9   407.0   421.5   436.0   460.0   498.0   688.8 10202.6 30037.7   5039.8     5000  1714577766426  1714577771858
read      409.0   502.7   148.8   214.3   231.4   397.0   454.8   482.6   500.3   520.8   544.5   582.5   683.2  5224.9 29152.7  10039.2    10000  1714577773362  1714577778733
read      411.6   345.8   148.8   208.9   225.8   398.8   479.2   514.7   538.4   565.4   596.5   641.7   748.8  1490.5 19742.0  14964.8    15000  1714577780236  1714577785559
read      423.3   258.4   148.8   206.0   223.5   397.6   488.6   535.6   567.4   602.2   641.4   704.4   854.1  1708.0  9639.8  20073.2    20000  1714577787062  1714577792398
read      435.9   450.4   148.8   209.7   229.2   399.4   487.7   538.4   575.5   617.6   667.7   737.9   908.0  1491.9 28071.5  24992.8    25000  1714577793902  1714577799226
read      460.0   310.7   148.8   208.1   228.2   430.9   522.2   575.9   615.7   662.9   721.1   803.0   984.4  1520.1 14237.6  29863.8    30000  1714577800730  1714577806040
read      444.7   261.6   148.8   204.4   223.4   412.4   501.8   555.4   596.9   644.8   707.9   794.6   978.9  1453.3  9785.1  35089.0    35000  1714577807543  1714577812842
read      455.9   288.0   148.8   207.2   227.4   423.8   516.5   569.2   609.9   660.4   724.8   817.1  1029.4  1460.1 10358.3  39946.4    40000  1714577814346  1714577819648
read      456.3   441.7   148.8   208.6   227.9   418.0   513.4   566.2   606.1   656.4   723.5   818.7  1018.5  1443.7 26282.7  45101.6    45000  1714577821151  1714577826452
read      462.8   348.4   148.8   209.8   230.1   425.0   522.2   578.0   619.3   669.3   735.1   838.3  1058.9  1527.4 15068.5  49976.6    50000  1714577827956  1714577833270
read      446.4   309.2   148.8   205.4   225.2   403.4   498.7   557.5   602.4   654.5   721.5   825.3  1049.4  1367.2  7326.1  55011.2    55000  1714577834774  1714577840081
read      475.9   354.5   148.8   213.5   237.4   440.4   538.2   593.0   633.3   681.7   747.0   848.0  1043.6  1435.4 14665.4  60148.8    60000  1714577841585  1714577846873
read      449.8   400.1   148.8   211.1   233.2   400.9   489.7   545.6   589.5   641.3   715.1   828.0  1071.9  1458.0 23494.2  65258.0    65000  1714577848377  1714577853676
read      465.1   276.7   148.8   215.5   241.2   426.9   517.6   571.7   613.1   664.6   731.6   833.9  1064.9  1389.8  8832.6  69879.5    70000  1714577855179  1714577860478
read      477.1   273.6   148.8   222.8   253.0   438.8   527.3   582.8   625.3   677.5   744.4   847.1  1057.7  1389.6 10635.0  74820.7    75000  1714577861982  1714577867281
read      868.4   526.9   148.8   560.5   597.9   725.6   800.9  1112.6  1230.5  1304.6  1365.9  1448.8  1585.6  4702.9 23485.9  75020.7    80000  1714577868785  1714577874081
read      844.7   504.4   173.5   543.7   576.5   705.0   786.2  1081.8  1198.8  1267.0  1332.1  1405.5  1538.0  4051.8 20443.6  77512.0    85000  1714577875585  1714577880876
read      826.8   425.7   160.7   520.6   557.8   690.8   789.5  1084.0  1171.7  1235.1  1296.6  1370.3  1495.1  3669.2 16768.0  79116.3    90000  1714577882379  1714577887683
read      870.9   504.2   148.8   566.0   601.7   726.0   799.4  1113.1  1237.2  1311.7  1374.0  1455.6  1590.3  5206.1 21233.7  75699.0    95000  1714577889188  1714577894482
read      895.1   533.7   160.7   583.8   617.0   746.3   826.6  1123.6  1270.8  1342.6  1412.0  1487.0  1618.7  4713.9 25425.6  73700.2   100000  1714577895986  1714577901276
read      868.7   512.9   160.7   540.3   579.0   727.4   838.3  1127.9  1218.6  1288.0  1353.1  1438.6  1587.8  4322.6 21868.9  75950.3   105000  1714577902780  1714577908076
read      902.0   524.2   173.5   590.8   623.3   753.3   830.3  1124.9  1279.4  1354.3  1427.3  1502.8  1635.4  5675.5 23110.9  73186.6   110000  1714577909580  1714577914865
read      855.9   507.7   160.7   549.4   581.2   716.1   800.4  1111.9  1210.4  1279.6  1345.4  1428.4  1569.3  3817.6 22468.4  76992.0   115000  1714577916370  1714577921655
read      859.8   566.5   173.5   559.7   594.6   709.7   789.6  1133.6  1227.5  1292.4  1348.2  1420.2  1544.2  4091.7 28895.4  76804.6   120000  1714577923158  1714577928454
read      835.0   485.7   173.5   528.7   563.1   695.5   790.4  1089.5  1177.2  1242.8  1308.8  1380.6  1517.9  3868.9 21002.6  78908.6   125000  1714577929958  1714577935254

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      408.2  1105.0   160.7   227.1   247.9   349.1   383.9   401.3   415.2   430.5   452.3   487.2   733.2 28034.8 32076.9   4970.6     5000  1714577952294  1714577957710
read      424.7   870.4   160.7   216.0   234.1   393.4   447.8   475.3   494.3   514.6   541.2   584.7   718.9  9426.8 35200.1   9894.8    10000  1714577959216  1714577964575
read      431.5   590.0   160.7   213.1   230.2   408.0   489.8   526.5   550.1   578.5   611.9   661.0   800.8  4484.6 29810.7  15001.6    15000  1714577966079  1714577971392
read      448.7   649.4   148.8   214.9   233.8   411.6   505.5   552.8   586.7   622.8   665.4   727.9   869.2  2162.7 30920.5  19981.9    20000  1714577972895  1714577978209
