#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      458.5  1377.0   160.7   235.7   258.7   376.3   419.8   441.3   457.4   474.4   499.7   542.2   823.4 29144.2 36552.0   4985.2     5000  1714580337064  1714580342466
read      466.5  1092.4   160.7   215.0   232.3   420.5   487.7   522.2   544.9   573.1   608.1   668.7   868.1 24911.4 36021.8  10087.6    10000  1714580343971  1714580349312
read      462.5   702.4   160.7   206.5   221.5   409.0   510.3   561.0   595.9   643.0   720.0   854.1  1128.2  4406.5 35373.8  14942.6    15000  1714580350816  1714580356119
read      477.6   670.6   148.8   202.6   215.6   377.4   512.8   581.0   636.9   731.7   882.5  1054.9  1318.4  3652.2 30611.9  19937.4    20000  1714580357623  1714580362928
read      486.6   813.6   148.8   197.6   210.8   334.1   481.7   561.7   629.9   778.1   986.8  1186.6  1499.9  5214.9 31874.3  24856.2    25000  1714580364432  1714580369708
read      548.8   635.6   148.8   197.6   210.8   335.0   494.0   595.3   706.6   974.5  1236.6  1545.7  2501.6  5838.7 20495.0  30002.0    30000  1714580371210  1714580376504
read      533.9   732.1   148.8   200.5   213.3   317.2   457.6   554.4   631.0   862.7  1322.3  1674.9  2168.4  3178.2 30993.9  35056.4    35000  1714580378006  1714580383292
read      506.5   727.9   148.8   195.5   207.3   291.0   397.9   499.4   581.8   753.7  1288.0  1681.9  2193.3  3509.0 29729.1  39764.0    40000  1714580384796  1714580390078
read      515.4   661.1   148.8   195.6   208.2   297.3   396.9   484.0   560.5   712.3  1327.6  1804.6  2474.0  3485.9 27983.2  44846.9    45000  1714580391581  1714580396856
read      491.3   654.3   148.8   193.5   205.1   280.9   357.8   435.6   508.9   643.6  1226.5  1795.4  2552.2  3547.5 28232.7  50065.4    50000  1714580398359  1714580403634
read      512.0   723.8   148.8   193.6   205.6   285.7   362.7   433.3   499.9   614.7  1281.6  1966.7  2889.2  4130.8 28784.3  55020.4    55000  1714580405138  1714580410414
read      498.9   654.6   148.8   191.9   203.3   276.5   344.7   409.2   471.5   590.7  1231.8  1974.1  2923.8  3971.3 16421.8  59767.0    60000  1714580411917  1714580417224
read      833.9   520.4   148.8   242.4   295.3   781.2   944.7  1046.1  1123.8  1223.1  1363.8  1612.9  2301.8  3796.8 14463.1  64787.4    65000  1714580418729  1714580424026
read      967.2   459.4   160.7   465.3   552.0   905.0  1064.9  1161.3  1235.7  1327.9  1452.6  1653.3  2121.3  3337.8 14365.1  66271.6    70000  1714580425530  1714580430840
read     1053.8   526.4   160.7   500.0   587.2   971.8  1155.0  1267.3  1354.5  1463.9  1607.5  1845.1  2399.3  3925.7 19148.6  61746.8    75000  1714580432344  1714580437660
