#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      402.2  1037.8   160.7   227.9   248.7   348.0   382.8   400.5   414.6   430.5   453.2   490.0   682.4 23980.9 32332.9   4953.2     5000  1714578179773  1714578185182
read      426.7   949.2   148.8   212.9   230.1   391.2   446.0   473.8   492.7   512.4   538.9   579.7   688.3 17522.8 32302.7  10022.6    10000  1714578186688  1714578192038
read      425.8   643.6   148.8   206.9   224.2   403.2   484.1   520.6   544.7   572.5   604.7   652.5   766.0  3974.4 29826.4  14986.6    15000  1714578193542  1714578198853
read      435.1   664.1   148.8   205.3   223.1   395.4   494.4   542.1   574.8   609.8   648.5   704.8   838.8  2113.6 29929.9  20140.2    20000  1714578200358  1714578205667
read      450.0   623.9   148.8   205.9   224.6   406.6   504.2   559.1   597.0   637.8   687.0   759.0   920.0  2479.4 30045.8  25054.8    25000  1714578207171  1714578212482
read      448.5   563.2   148.8   204.7   223.3   407.4   500.2   552.5   592.3   639.7   697.1   781.3   957.2  1539.8 29528.7  29988.6    30000  1714578213986  1714578219271
read      444.9   363.8   148.8   203.7   222.1   408.7   500.2   554.2   596.3   645.1   709.8   800.7   997.2  1430.3 23102.5  34907.8    35000  1714578220776  1714578226074
read      458.9   488.8   148.8   204.9   224.3   424.6   513.7   564.0   602.9   651.0   715.1   804.0  1025.7  3061.3 26335.5  39998.6    40000  1714578227579  1714578232880
read      461.3   406.5   148.8   209.2   229.8   425.3   519.3   571.4   610.9   659.4   723.6   821.3  1058.6  1508.5 28344.9  44848.8    45000  1714578234383  1714578239677
read      453.5   451.0   148.8   206.4   225.8   410.1   506.0   561.6   602.9   652.7   718.8   816.8  1037.7  1777.5 28526.6  49906.4    50000  1714578241181  1714578246451
read      465.8   519.7   148.8   209.4   230.2   420.9   516.0   573.5   615.5   666.5   734.6   840.4  1055.7  1555.2 29516.8  55061.6    55000  1714578247955  1714578253237
read      463.8   463.7   148.8   210.2   232.0   419.9   515.5   572.0   615.0   667.2   734.9   838.2  1065.2  1539.3 28509.1  59916.9    60000  1714578254741  1714578260031
read      451.2   452.4   148.8   209.9   231.2   404.9   498.7   555.1   596.4   646.8   712.5   807.7  1016.5  1388.7 28274.4  64905.5    65000  1714578261535  1714578266822
read      467.9   333.5   148.8   218.0   243.4   430.3   521.8   576.9   618.2   667.7   732.3   827.8  1026.6  1323.5 16286.6  69823.6    70000  1714578268326  1714578273608
read      490.7   430.9   148.8   225.0   256.2   448.6   539.0   593.2   636.0   690.0   762.0   873.3  1099.0  1402.2 25472.6  74896.2    75000  1714578275111  1714578280394
read      814.3   498.9   137.8   501.7   546.0   681.8   773.3  1052.0  1154.6  1224.5  1286.3  1361.2  1484.8  4002.9 21655.0  78102.4    80000  1714578281898  1714578287181
read      762.3   423.3   173.5   447.2   485.2   642.7   832.5   983.1  1050.5  1112.0  1173.4  1257.8  1405.4  3127.5 15377.9  83249.2    85000  1714578288685  1714578293976
read      859.6   558.4   137.8   548.5   582.8   721.8   799.3  1065.9  1201.5  1285.2  1358.0  1445.8  1586.1  5411.8 28411.9  76754.8    90000  1714578295480  1714578300777
read      821.2   491.3   148.8   512.6   551.0   685.7   786.9  1063.0  1155.2  1224.5  1288.6  1367.5  1494.7  3845.1 21478.0  80009.8    95000  1714578302281  1714578307558
read      847.8   547.0   160.7   547.6   576.8   699.8   789.8  1108.3  1199.3  1260.8  1323.4  1387.2  1540.4  5058.3 25694.5  77819.2   100000  1714578309062  1714578314344
read      820.5   515.9   173.5   535.8   565.1   676.0   745.4  1090.0  1176.9  1232.4  1283.6  1353.8  1471.3  4312.1 25433.3  80418.7   105000  1714578315848  1714578321129
read      830.4   491.4   173.5   532.1   564.0   686.3   778.5  1097.0  1177.1  1238.8  1300.5  1370.8  1492.2  4033.6 20710.3  79383.2   110000  1714578322633  1714578327921
read      843.6   623.9   160.7   515.6   551.1   709.0   830.8  1053.2  1145.8  1222.3  1303.7  1423.3  1607.0  7795.0 28802.8  78706.6   115000  1714578329426  1714578334720
read      880.0   535.3   160.7   582.2   612.7   732.1   800.6  1107.8  1252.9  1324.3  1383.5  1462.4  1595.3  5614.9 24015.2  75088.8   120000  1714578336224  1714578341513
