#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      372.6   425.3   160.7   236.1   258.9   347.2   375.2   393.0   404.1   421.1   439.6   477.3   651.9  6208.0 18324.7   4928.8     5000  1714579561257  1714579566704
read      383.4   340.0   160.7   214.9   233.2   378.9   424.3   445.7   459.8   475.2   498.1   533.7   626.8  3890.1 19030.4   9930.4    10000  1714579568207  1714579573619
read      391.8   317.2   148.8   210.4   226.4   389.6   450.3   475.3   492.7   510.2   535.9   572.6   663.6  3019.6 14804.8  14932.8    15000  1714579575122  1714579580441
read      381.7   197.0   148.8   203.2   218.3   371.7   451.6   482.7   502.5   524.8   548.7   589.1   693.0  1533.2  7547.0  19893.0    20000  1714579581946  1714579587271
read      372.5   278.2   148.8   203.0   217.3   341.4   434.6   470.6   493.5   517.9   545.3   585.6   677.3  1539.6 14069.2  24923.0    25000  1714579588775  1714579594121
read      374.9   297.8   148.8   202.3   216.7   336.1   434.1   477.8   504.6   533.3   565.2   607.5   692.6  1480.0  9521.8  29925.6    30000  1714579595625  1714579600945
read      375.6   210.2   148.8   201.3   215.3   329.8   430.0   484.9   517.9   550.4   586.3   633.9   741.3  1464.0  7832.4  35122.6    35000  1714579602449  1714579607761
read      371.3   275.0   148.8   200.9   214.4   324.2   414.3   473.3   509.6   546.5   585.8   635.5   738.1  1404.1  9072.2  39983.2    40000  1714579609265  1714579614563
read      377.1   262.2   148.8   201.9   216.0   332.1   419.6   474.8   513.4   552.4   593.8   646.9   752.4  1461.1 10915.4  45078.6    45000  1714579616066  1714579621368
read      377.2   278.9   148.8   201.7   216.5   336.1   419.3   469.7   506.2   546.8   590.4   648.2   780.2  1323.5  7860.0  49851.8    50000  1714579622872  1714579628181
read      368.0   192.2   148.8   201.9   216.1   330.3   403.7   451.8   488.6   530.8   577.8   635.9   745.1  1476.8  4791.9  55098.6    55000  1714579629684  1714579634978
read      363.3   240.8   148.8   200.2   214.6   327.4   397.6   441.6   474.5   514.5   561.4   624.2   747.1  1315.6  7881.7  59978.9    60000  1714579636482  1714579641778
read      362.6   293.1   148.8   201.1   215.8   330.3   397.5   437.5   468.3   504.9   548.9   612.1   738.9  1281.0  9823.4  65049.2    65000  1714579643281  1714579648581
read      365.1   235.8   148.8   202.8   218.1   335.6   402.5   440.7   468.8   504.3   548.4   616.0   748.6  1145.9  6308.0  69919.8    70000  1714579650085  1714579655382
read      353.3   309.5   148.8   200.6   214.3   317.9   379.3   418.2   447.9   484.9   533.8   603.9   739.1  1387.1 12334.9  74928.6    75000  1714579656886  1714579662184
read      368.7   286.3   148.8   202.3   217.0   330.5   399.4   442.2   473.9   512.9   564.6   642.5   831.4  1250.9 12139.4  79854.2    80000  1714579663689  1714579668982
read      362.6   260.5   148.8   202.9   218.4   331.8   394.8   431.3   459.3   493.2   537.6   607.9   769.8  1765.0  7931.8  84877.0    85000  1714579670486  1714579675780
read      365.5   266.9   148.8   204.5   220.6   337.9   399.4   434.8   461.6   494.3   537.3   605.4   759.8  1160.5  9983.2  89815.6    90000  1714579677284  1714579682568
read      352.8   280.5   148.8   203.6   218.7   325.1   382.1   415.4   440.2   470.9   513.0   581.4   729.7  1145.4 10385.9  95083.4    95000  1714579684072  1714579689365
read      359.0   292.4   148.8   203.9   219.6   330.9   388.8   423.2   449.2   480.9   524.7   595.2   780.8  1161.6  7172.1  99827.8   100000  1714579690868  1714579696161
read      363.4   389.7   148.8   207.5   224.5   337.6   391.3   422.7   446.1   474.0   513.9   580.6   733.1  1183.5 28621.4 105025.6   105000  1714579697664  1714579702952
read      380.8   294.0   148.8   214.6   233.9   353.4   410.1   444.7   470.5   504.9   551.4   633.7   806.8  1114.2  6767.3 109706.2   110000  1714579704456  1714579709745
read      474.3   337.9   148.8   244.2   277.2   432.3   513.7   571.0   614.6   665.0   725.7   804.9   946.1  1203.8 12734.7 114543.2   115000  1714579711249  1714579716537
read      463.1   271.2   148.8   246.5   277.5   430.1   510.9   560.0   594.8   636.3   687.6   761.1   901.5  1178.0  7938.7 119984.6   120000  1714579718041  1714579723330
read      498.4   375.7   148.8   263.9   297.4   462.3   557.3   608.5   642.8   683.3   732.9   803.5   936.9  1297.6 21949.7 121586.0   125000  1714579724834  1714579730114

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      397.3   909.7   160.7   234.0   255.6   350.7   381.6   399.2   412.1   426.7   445.3   475.0   618.6 16496.7 31942.9   4965.2     5000  1714579738458  1714579743879
read      381.8   557.4   160.7   217.3   233.4   372.6   417.7   437.6   452.3   467.0   488.7   519.0   590.5  2105.2 29804.6   9948.2    10000  1714579745385  1714579750744
read      402.7   894.7   160.7   208.4   223.6   379.4   437.8   461.3   477.1   496.0   518.5   551.2   640.1  8873.7 36289.1  15034.0    15000  1714579752248  1714579757544
read      388.5   594.0   148.8   204.1   219.0   365.0   445.6   476.6   495.9   516.7   541.8   581.0   677.4  2304.2 29920.1  19844.0    20000  1714579759046  1714579764380
read      384.8   451.9   148.8   202.3   216.1   341.0   451.5   491.5   516.1   541.5   571.7   613.0   695.0  1579.2 28704.9  25170.8    25000  1714579765883  1714579771188
read      393.0   657.8   148.8   201.4   215.9   337.1   444.9   493.5   522.7   551.6   584.4   629.1   728.4  1597.4 29993.6  30096.4    30000  1714579772690  1714579777986
read      388.3   586.2   148.8   199.3   213.7   331.9   437.1   491.6   525.1   558.6   593.4   639.4   744.6  1586.1 29960.4  34912.0    35000  1714579779490  1714579784777
read      377.1   427.8   148.8   198.7   213.4   330.6   419.4   474.2   510.6   546.2   584.1   632.1   735.8  1524.8 28328.1  40031.0    40000  1714579786281  1714579791561
read      373.8   459.4   148.8   198.8   213.1   327.4   408.8   462.0   499.8   539.2   581.2   634.4   742.8  1373.4 29343.1  44996.6    45000  1714579793064  1714579798357
read      387.3   425.3   148.8   202.8   217.6   336.1   421.7   473.3   510.6   550.2   595.3   661.4   866.7  2260.4 28064.0  49905.6    50000  1714579799861  1714579805134
read      366.7   294.7   148.8   200.2   214.8   332.3   404.0   448.5   481.4   519.6   563.9   621.6   740.1  1193.9  9860.9  55162.2    55000  1714579806638  1714579811931
read      361.6   170.9   148.8   203.5   218.5   326.5   394.9   437.2   469.8   508.9   555.3   617.3   744.0  1432.4  6078.9  59986.8    60000  1714579813436  1714579818730
read      361.0   186.8   148.8   200.9   214.9   325.2   395.3   438.8   471.5   511.0   559.2   624.7   753.9  1183.4  5921.0  64774.6    65000  1714579820235  1714579825529
read      363.4   182.5   148.8   202.6   217.2   330.2   399.0   439.2   469.4   506.4   553.7   621.8   758.9  1366.0  7647.5  69940.2    70000  1714579827033  1714579832336
read      364.8   181.9   148.8   205.5   221.3   333.8   399.2   437.7   466.8   503.1   548.5   618.9   759.5  1253.2  6414.4  74780.6    75000  1714579833840  1714579839141
read      349.7   190.9   148.8   202.7   216.9   317.5   376.2   412.9   441.0   476.3   524.3   593.8   728.8  1505.2  7268.9  79915.4    80000  1714579840646  1714579845952
read      359.5   183.6   148.8   203.5   218.9   331.6   393.9   429.6   456.5   489.3   533.2   600.9   743.4  1406.2  6191.8  84884.4    85000  1714579847456  1714579852755
read      356.7   170.2   148.8   201.4   216.4   329.2   390.0   425.1   451.8   484.4   528.3   594.0   757.1  1677.6  4024.9  89887.1    90000  1714579854259  1714579859558
read      350.7   185.1   148.8   201.8   216.9   326.2   382.4   415.2   439.3   468.9   508.2   575.8   727.8  1210.4  7513.2  94906.8    95000  1714579861062  1714579866356
read      366.0   191.1   148.8   208.7   226.5   344.9   399.9   431.6   455.8   484.8   524.0   588.4   748.5  1082.3  5838.3  99859.4   100000  1714579867860  1714579873156
