#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      425.4  1199.5   160.7   232.0   255.7   361.1   396.9   416.6   430.2   446.4   465.2   498.8   685.5 27564.1 39406.7   5031.0     5000  1714578958054  1714578963475
read      421.9   812.0   148.8   210.8   227.9   396.0   453.2   480.5   499.3   520.9   545.9   587.2   723.5  8446.7 30934.8   9916.6    10000  1714578964981  1714578970353
read      421.5   585.2   148.8   206.8   224.0   398.8   479.3   518.7   543.7   571.8   604.1   651.1   783.2  3850.5 29722.0  14932.6    15000  1714578971856  1714578977177
read      435.3   507.0   148.8   205.1   222.9   404.0   494.9   546.8   582.0   619.4   663.1   724.8   857.1  1947.5 29664.0  20065.0    20000  1714578978681  1714578984000
read      455.0   570.1   148.8   207.1   224.9   414.4   514.5   573.1   614.0   659.1   712.0   784.9   942.9  1601.4 29634.8  24916.6    25000  1714578985504  1714578990817
read      456.3   332.3   148.8   203.0   220.2   415.1   527.9   592.7   639.0   692.1   753.1   835.2  1038.2  1568.9 10261.3  29979.8    30000  1714578992322  1714578997644
read      466.5   534.2   148.8   204.9   221.3   396.3   524.0   601.0   658.8   721.5   790.9   887.7  1162.9  1571.8 29608.9  34891.6    35000  1714578999148  1714579004444
read      470.3   549.7   148.8   204.4   220.6   378.1   515.8   599.5   665.4   741.4   827.8   953.5  1253.9  2165.7 29701.8  40003.0    40000  1714579005948  1714579011239
read      456.4   447.7   148.8   202.6   217.9   352.8   489.5   579.5   652.7   736.0   829.1   977.0  1272.4  1704.9 28325.7  44876.2    45000  1714579012742  1714579018028
read      454.8   433.8   148.8   202.0   217.3   339.4   460.5   551.5   631.5   732.8   856.5  1055.5  1418.8  1871.4 22154.2  49978.8    50000  1714579019532  1714579024830
read      465.5   552.0   148.8   202.5   217.9   329.9   427.4   520.7   611.3   739.8   914.4  1201.5  1641.7  2367.5 29138.9  55130.2    55000  1714579026334  1714579031618
read      478.6   457.7   148.8   207.3   225.1   354.6   459.5   545.2   629.0   752.8   918.5  1189.1  1682.8  2232.1 18490.8  60077.6    60000  1714579033122  1714579038398
read      489.7   601.8   148.8   207.9   226.4   359.5   463.7   548.2   629.2   750.0   934.3  1203.5  1751.2  2591.1 29761.2  64786.0    65000  1714579039902  1714579045182
read      492.7   544.4   148.8   210.0   228.0   346.4   438.9   520.1   607.6   759.4  1002.6  1341.5  1875.3  2608.0 28322.7  69780.2    70000  1714579046686  1714579051970
read      492.2   491.4   148.8   211.1   229.9   343.4   433.0   515.2   606.3   773.6  1021.8  1350.0  1942.1  2634.7 21318.6  74981.7    75000  1714579053475  1714579058755
read      710.6   963.6   148.8   228.9   255.6   440.0   646.9   862.6  1022.9  1176.8  1469.7  1933.3  2908.1  8782.8 32020.9  76831.4    80000  1714579060258  1714579065539
read      796.6   871.6   148.8   265.3   304.9   424.6   607.1  1392.9  1516.4  1607.7  1705.4  1851.6  2756.6  9277.5 30842.2  81700.6    85000  1714579067042  1714579072337
read      870.8  1172.3   148.8   262.2   307.1   469.7   728.0  1449.2  1561.9  1656.0  1754.5  1910.2  2847.3 15571.4 32297.2  76542.8    90000  1714579073840  1714579079125
read      902.0   986.9   137.8   277.0   320.6   502.0  1199.2  1523.1  1607.1  1701.5  1813.0  1981.4  2799.6 12431.5 31163.4  73371.2    95000  1714579080629  1714579085904
read      833.6  1076.6   148.8   274.6   305.2   444.0   679.2  1415.2  1529.4  1621.6  1729.1  1882.8  2769.5 14389.4 32134.0  79705.8   100000  1714579087407  1714579092699
